    louvainCommunity  numSessions  numBuyers  numItems  numBoughtItems  communitySize  buyerRatio  boughtItemRatio
                0       746379      31086      2440            1030         748819    0.041649         0.422131
                1       642801      31426      2459             828         645260    0.048889         0.336722
                2       606997      27630      2595            1194         609592    0.045519         0.460116
                3       481111      38060      3910            1097         485021    0.079109         0.280563
                4       444701      26628      4220            1659         448921    0.059878         0.393128
                5       446410      21013      1922             759         448332    0.047071         0.394901
                6       446334      24037       977             395         447311    0.053854         0.404299
                7       435423      29777      1839             886         437262    0.068386         0.481784
                8       414281      22844      2298            1137         416579    0.055141         0.494778
                9       395284      19882      2474            1268         397758    0.050298         0.512530
               10       365677      20677      1328             554         367005    0.056544         0.417169
               11       363579      19584      1412             519         364991    0.053864         0.367564
               12       331621      16202       945             314         332566    0.048857         0.332275
               13       324739      13767      2778             874         327517    0.042394         0.314615
               14       294805      16765      1039             345         295844    0.056868         0.332050
               15       275679      20073       339             139         276018    0.072813         0.410029
               16       273096      12820      1100             482         274196    0.046943         0.438182
               17       231731      13799      2565            1116         234296    0.059547         0.435088
               18       222034      13601      1157             351         223191    0.061256         0.303371
               19       219466       8843       737             323         220203    0.040293         0.438263
               20       174665       4984       530             267         175195    0.028535         0.503774
               21       172426       7086       685             282         173111    0.041096         0.411679
               22       132403      13579       344             167         132747    0.102558         0.485465
               23       124738       3677       571             213         125309    0.029478         0.373030
               24       111444       9425      1988             968         113432    0.084572         0.486922
               25        89433       9157      1382             989          90815    0.102389         0.715630
               26        86559       6874      1254             320          87813    0.079414         0.255183
               27        76010       4581       407             178          76417    0.060268         0.437346
               28        73344       4366      1138             475          74482    0.059528         0.417399
               29        68058       4351       454             172          68512    0.063931         0.378855
               30        66702       3257       586             192          67288    0.048829         0.327645
               31        42012       4247       179              44          42191    0.101090         0.245810
               32        37379       3567       460             135          37839    0.095428         0.293478
               33        18639       1517       218              92          18857    0.081388         0.422018
               34         7641        452       846             111           8487    0.059155         0.131206
               35         1387         32       249              24           1636    0.023071         0.096386
               36          390          2         4               0            394    0.005128         0.000000
               37           29         15        63              33             92    0.517241         0.523810
               38           72          1        11               5             83    0.013889         0.454545
